transaction_time,transaction_amount
2021-01-01,
2021-01-02,
2021-01-03,2372.8566666666666
2021-01-04,661.8433333333334
2021-01-05,724.9233333333333
2021-01-06,855.1033333333334
2021-01-07,751.9833333333332
2021-01-08,589.2666666666667
2021-01-09,785.5633333333332
2021-01-10,710.8800000000001
2021-01-11,1363.06
2021-01-12,4504.756666666667
2021-01-13,4417.966666666666
2021-01-14,3987.596666666667
2021-01-15,1181.0999999999995
2021-01-16,1062.7833333333326
2021-01-17,748.1133333333328
2021-01-18,437.36999999999944
2021-01-19,516.1466666666661
2021-01-20,543.2099999999995
2021-01-21,382.91333333333273
2021-01-22,434.3266666666661
2021-01-23,793.2966666666662
2021-01-24,973.0733333333328
2021-01-25,894.3899999999994
2021-01-26,1486.906666666666
2021-01-27,1255.5866666666661
2021-01-28,4150.073333333333
2021-01-29,3655.549999999999
2021-01-30,3653.8099999999995
2021-01-31,682.1499999999994
